,date,dateSubmitted,region,country,division,location,regionExposure,countryExposure,divisionExposure,age,sex,host,samplingStrategy,pangoLineage,nextcladePangoLineage,nextstrainClade,gisaidClade,submittingLab,originatingLab,count
42,2022-07-26,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.2.19,BA.5.2.19,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
43,2022-01-03,2022-09-01,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.1.1,BA.1.1,21K,,"Seoul National University, College of Medicine",,1
44,2022-07-07,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.2,BA.5.2,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
45,2022-04-01,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.2.3,BA.2.3,21L,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,2
46,2022-03-13,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.1.1,BA.1.1,21K,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,1
47,2022-03-26,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.1.1,BA.1.1,21K,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,1
48,2022-03-12,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.2,BA.2,21L,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,1
49,2022-07-25,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.2,BA.5.2,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
50,2022-07-13,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.2,BA.5.2,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,2
51,2022-03-14,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.2.3.12,BA.2.3.12,21L,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,1
52,2022-06-23,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.2.56,BA.2.56,21L,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
53,2022-04-20,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.2.3,BA.2.3,21L,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,1
54,2022-07-13,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.5.1.10,BA.5.1.10,22B,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
55,2022-02-24,2022-11-14,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,Homo sapiens,,BA.1,BA.1,21K,,"Kangdong Sacred Heart Hospital, Hallym University College of Medicine, Department of Laboratory Medicine",,1
56,2022-03-08,2022-12-28,Asia,South Korea,South Korea,,Asia,South Korea,South Korea,,,,,BA.1.1,BA.1.1,21K,,"Jeollabukdo Institute of Health and Environment Research, Emerging Infectious Disease",,1
